"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","dissection:ch1","tissue type:ch1","treatment:ch1"
"GSM1551335","CIN1-01","GSM1551335","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551335/suppl/GSM1551335_CIN1-01_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551336","CIN1-02","GSM1551336","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551336/suppl/GSM1551336_CIN1-02_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551337","CIN1-03","GSM1551337","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551337/suppl/GSM1551337_CIN1-03_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551338","CIN1-04","GSM1551338","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551338/suppl/GSM1551338_CIN1-04_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551339","CIN1-05","GSM1551339","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551339/suppl/GSM1551339_CIN1-05_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551340","CIN1-06","GSM1551340","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551340/suppl/GSM1551340_CIN1-06_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551341","CIN1-07","GSM1551341","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551341/suppl/GSM1551341_CIN1-07_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551342","CIN1-08","GSM1551342","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551342/suppl/GSM1551342_CIN1-08_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551343","CIN1-09","GSM1551343","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551343/suppl/GSM1551343_CIN1-09_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551344","CIN1-10","GSM1551344","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551344/suppl/GSM1551344_CIN1-10_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551345","CIN1-11","GSM1551345","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551345/suppl/GSM1551345_CIN1-11_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551346","CIN1-12","GSM1551346","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551346/suppl/GSM1551346_CIN1-12_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551347","CIN1-13","GSM1551347","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551347/suppl/GSM1551347_CIN1-13_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551348","CIN1-14","GSM1551348","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, low grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551348/suppl/GSM1551348_CIN1-14_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, low grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551349","CIN2-01","GSM1551349","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551349/suppl/GSM1551349_CIN2-01_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551350","CIN2-02","GSM1551350","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551350/suppl/GSM1551350_CIN2-02_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551351","CIN2-03","GSM1551351","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551351/suppl/GSM1551351_CIN2-03_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551352","CIN2-04","GSM1551352","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551352/suppl/GSM1551352_CIN2-04_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551353","CIN2-05","GSM1551353","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551353/suppl/GSM1551353_CIN2-05_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551354","CIN2-06","GSM1551354","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551354/suppl/GSM1551354_CIN2-06_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551355","CIN2-07","GSM1551355","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551355/suppl/GSM1551355_CIN2-07_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551356","CIN2-08","GSM1551356","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551356/suppl/GSM1551356_CIN2-08_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551357","CIN2-09","GSM1551357","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551357/suppl/GSM1551357_CIN2-09_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
"GSM1551358","CIN2-10","GSM1551358","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: cervical intraepithelial neoplasm, moderate grade lesion","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551358/suppl/GSM1551358_CIN2-10_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","cervical intraepithelial neoplasm, moderate grade lesion","flash-frozen biopsy, cryosectioned"
